"","Name","position","playerid","IP","ERA","WHIP","SV","W","K","adjusted_points","dollar_value"
"372","Danny Hultzen","pitcher","sa455118",9,3.96,1.39,0,1,9,-4.32,-12.16
"342","Darin Downs","pitcher","5903",10,4.13,1.38,0,1,9,-4.32,-12.17
"602","David Holmberg","pitcher","7725",28,4.87,1.44,0,1,18,-4.33,-12.21
"478","Juan Oviedo","pitcher","2886",10,4.27,1.38,0,1,9,-4.33,-12.21
"593","Maikel Cleto","pitcher","5529",30,4.96,1.59,0,1,31,-4.34,-12.22
"551","Jose Ramirez","pitcher","10171",10,4.28,1.43,0,1,10,-4.34,-12.23
"498","Bronson Arroyo","pitcher","978",10,4.32,1.28,0,1,6,-4.35,-12.24
"455","Enrique Burgos","pitcher","sa503551",10,4.3,1.5,0,1,11,-4.36,-12.28
"550","Josh Zeid","pitcher","6527",15,4.73,1.47,0,1,13,-4.37,-12.3
"538","John Lamb","pitcher","sa454551",10,4.32,1.4,0,1,8,-4.37,-12.3
"554","Bo Schultz","pitcher","5028",15,4.7,1.41,0,1,10,-4.38,-12.33
"86","Blake Parker","pitcher","5224",10,3.44,1.22,0,0,11,-4.39,-12.37
"452","Carlos Frias","pitcher","3547",9,4.39,1.35,0,1,6,-4.39,-12.37
"565","Rafael Betancourt","pitcher","177",10,4.71,1.41,0,1,8,-4.41,-12.41
"549","Evan Meek","pitcher","5109",10,4.43,1.42,0,1,7,-4.41,-12.42
"592","Chris Bassitt","pitcher","12304",29,4.8,1.54,0,1,21,-4.41,-12.42
"506","Eric Fornataro","pitcher","7042",10,4.27,1.42,0,1,6,-4.41,-12.43
"574","Alex Gonzalez","pitcher","sa709714",19,4.93,1.45,0,1,12,-4.42,-12.46
"530","Trevor May","pitcher","6398",9,4.82,1.48,0,1,8,-4.44,-12.52
"558","Drake Britton","pitcher","2868",10,4.45,1.49,0,1,7,-4.44,-12.52
"155","Jose Dominguez","pitcher","11571",10,3.48,1.33,0,0,11,-4.45,-12.54
"591","Frankie Montas","pitcher","sa551258",19,5.16,1.53,0,1,16,-4.46,-12.56
"573","Alex White","pitcher","10054",19,4.98,1.52,0,1,14,-4.46,-12.56
"561","David Goforth","pitcher","sa526815",10,4.58,1.5,0,1,7,-4.46,-12.57
"224","Zac Rosscup","pitcher","9419",10,3.58,1.38,0,0,12,-4.46,-12.58
"586","Jonathan Edwards","pitcher","1483",20,4.89,1.65,0,1,19,-4.49,-12.64
"291","Mayckol Guaipe","pitcher","sa504801",10,3.82,1.23,0,0,8,-4.49,-12.64
"321","Burch Smith","pitcher","12784",10,3.84,1.27,0,0,9,-4.49,-12.65
"588","Onelki Garcia","pitcher","13674",15,4.94,1.63,0,1,14,-4.5,-12.67
